lambda[micron],Kabs[cm^2/g]
1.0068592463335793,63205.167633874873
1.0145491632666985,62566.355612843297
1.0222978121652375,61909.646592399178
1.0301056415962997,61263.655235172380
1.0379731035529320,60611.125019768406
1.0459006534802926,59955.535414017810
1.0538887503020147,59312.014298835333
1.0619378564467741,58642.805711041161
1.0700484378750594,57979.997933683619
1.0782209641061460,57340.674217382919
1.0864559082452765,56687.443711362801
1.0947537470110487,56050.020392466817
1.1031149607630122,55407.687596999240
1.1115400335294774,54769.941033493953
1.1200294530355346,54139.813362115681
1.1285837107312890,53493.795699755661
1.1372033018203098,52881.907940941281
1.1458887252882983,52270.289018460535
1.1546404839319744,51637.697377380864
1.1634590843881816,51022.494581095132
1.1723450371632171,50404.264211319234
1.1812988566623857,49795.249341999166
1.1903210612197770,49204.618668072326
1.1994121731282732,48608.169903891714
1.2085727186697826,48005.905610488735
1.2178032281457074,47420.732845332430
1.2271042359076429,46822.186360305699
1.2364762803883094,46237.218229386286
1.2459199041327231,45657.587074707451
1.2554356538296041,45069.973545460780
1.2650240803430230,44495.606926926623
1.2746857387442916,43935.055595681704
1.2844211883440937,43363.318912221337
1.2942309927248663,42805.026194945051
1.3041157197734228,42241.826526438475
1.3140759417138292,41665.811644193076
1.3241122351405292,41106.650384860353
1.3342251810517236,40568.632497726852
1.3444153648830042,40031.903688038707
1.3546833765412440,39503.127490958352
1.3650298104387466,38963.736842885606
1.3754552655276577,38446.522982157898
1.3859603453346370,37941.974230099622
1.3965456579957969,37461.615191214412
1.4072118162919069,36978.728145577399
1.4179594376838680,36505.891344520329
1.4287891443484568,36056.183804943234
1.4397015632143428,35603.341993999733
1.4506973259983815,35159.141504171093
1.4617770692421854,34710.577297296797
1.4729414343489711,34275.923094557613
1.4841910676206911,33862.872664675655
1.4955266202954485,33444.075794050128
1.5069487485851958,33027.237714236784
1.5184581137137245,32622.819428177285
1.5300553819549410,32210.107391084541
1.5417412246714386,31796.194709212719
1.5535163183533622,31392.438575924178
1.5653813446575702,30994.120820972676
1.5773369904470942,30616.038824473384
1.5893839478309029,30235.258090406998
1.6015229142039675,29847.472380036790
1.6137545922876348,29459.580267261401
1.6260796901703038,29065.456084430079
1.6384989213484211,28691.978388534022
1.6510130047677838,28329.372749644092
1.6636226648651573,27969.368161657480
1.6763286316102144,27613.734077165627
1.6891316405477923,27250.307392554612
1.7020324328404746,26895.000363804771
1.7150317553114944,26556.947167272767
1.7281303604879701,26214.107755147426
1.7413290066444669,25869.990221695210
1.7546284578468949,25541.809419008736
1.7680294839967408,25227.531746259130
1.7815328608756336,24912.982554481074
1.7951393701902605,24612.043917805939
1.8088497996176138,24315.863677950685
1.8226649428505943,24023.201883447371
1.8365855996439537,23740.435772306024
1.8506125758605931,23461.371935576568
1.8647466835182183,23184.712203330811
1.8789887408363413,22908.692470341553
1.8933395722836504,22637.871840656509
1.9078000086257374,22359.268872367058
1.9223708869731919,22082.225932610116
1.9370530508300581,21811.722768796684
